"trainer/global_step","SPT-64 - _step","SPT-64 - _step__MIN","SPT-64 - _step__MAX","SPT-64 - train/loss","SPT-64 - train/loss__MIN","SPT-64 - train/loss__MAX"
"694","290","290","290","3.6213555335998535","3.6213555335998535","3.6213555335998535"
"699","293","293","293","3.28019642829895","3.28019642829895","3.28019642829895"
"704","295","295","295","3.444340229034424","3.444340229034424","3.444340229034424"
"709","297","297","297","3.3375563621520996","3.3375563621520996","3.3375563621520996"
"714","299","299","299","3.19572377204895","3.19572377204895","3.19572377204895"
"719","301","301","301","3.118502140045166","3.118502140045166","3.118502140045166"
"724","303","303","303","3.170367956161499","3.170367956161499","3.170367956161499"
"729","305","305","305","3.1552302837371826","3.1552302837371826","3.1552302837371826"
"734","307","307","307","2.99479079246521","2.99479079246521","2.99479079246521"
"739","309","309","309","3.3389015197753906","3.3389015197753906","3.3389015197753906"
"744","311","311","311","3.1582603454589844","3.1582603454589844","3.1582603454589844"
"749","314","314","314","3.195781707763672","3.195781707763672","3.195781707763672"
"754","316","316","316","3.1130504608154297","3.1130504608154297","3.1130504608154297"
"759","318","318","318","3.0005738735198975","3.0005738735198975","3.0005738735198975"
"764","320","320","320","3.1451265811920166","3.1451265811920166","3.1451265811920166"
"769","322","322","322","2.978990077972412","2.978990077972412","2.978990077972412"
"774","324","324","324","2.945852279663086","2.945852279663086","2.945852279663086"
"779","326","326","326","2.8363852500915527","2.8363852500915527","2.8363852500915527"
"784","328","328","328","2.9840497970581055","2.9840497970581055","2.9840497970581055"
"789","330","330","330","2.9401233196258545","2.9401233196258545","2.9401233196258545"
"794","332","332","332","2.850253105163574","2.850253105163574","2.850253105163574"
"799","335","335","335","2.8493812084198","2.8493812084198","2.8493812084198"
"804","337","337","337","2.9076318740844727","2.9076318740844727","2.9076318740844727"
"809","339","339","339","2.8667871952056885","2.8667871952056885","2.8667871952056885"
"814","341","341","341","2.739121437072754","2.739121437072754","2.739121437072754"
"819","343","343","343","2.835275173187256","2.835275173187256","2.835275173187256"
"824","345","345","345","3.244032382965088","3.244032382965088","3.244032382965088"
"829","347","347","347","3.0267343521118164","3.0267343521118164","3.0267343521118164"
"834","349","349","349","3.344888687133789","3.344888687133789","3.344888687133789"
"839","351","351","351","3.4348244667053223","3.4348244667053223","3.4348244667053223"
"844","353","353","353","3.1479179859161377","3.1479179859161377","3.1479179859161377"
"849","356","356","356","3.5267395973205566","3.5267395973205566","3.5267395973205566"
"854","358","358","358","3.243664264678955","3.243664264678955","3.243664264678955"
"859","360","360","360","2.881345748901367","2.881345748901367","2.881345748901367"
"864","362","362","362","3.0351128578186035","3.0351128578186035","3.0351128578186035"
"869","364","364","364","3.0674872398376465","3.0674872398376465","3.0674872398376465"
"874","366","366","366","2.834472894668579","2.834472894668579","2.834472894668579"
"879","368","368","368","3.0195395946502686","3.0195395946502686","3.0195395946502686"
"884","370","370","370","3.000110149383545","3.000110149383545","3.000110149383545"
"889","372","372","372","3.102722644805908","3.102722644805908","3.102722644805908"
"894","374","374","374","2.828662395477295","2.828662395477295","2.828662395477295"
"899","377","377","377","3.4338507652282715","3.4338507652282715","3.4338507652282715"
"904","379","379","379","2.919694185256958","2.919694185256958","2.919694185256958"
"909","381","381","381","2.983123779296875","2.983123779296875","2.983123779296875"
"914","383","383","383","2.892057418823242","2.892057418823242","2.892057418823242"
"919","385","385","385","2.794053554534912","2.794053554534912","2.794053554534912"
"924","387","387","387","2.8484091758728027","2.8484091758728027","2.8484091758728027"
"929","389","389","389","2.8391568660736084","2.8391568660736084","2.8391568660736084"
"934","391","391","391","3.339331865310669","3.339331865310669","3.339331865310669"
"939","393","393","393","3.0985631942749023","3.0985631942749023","3.0985631942749023"
"944","395","395","395","2.967883586883545","2.967883586883545","2.967883586883545"
"949","398","398","398","2.7600669860839844","2.7600669860839844","2.7600669860839844"
"954","400","400","400","2.9711849689483643","2.9711849689483643","2.9711849689483643"
"959","402","402","402","2.666503429412842","2.666503429412842","2.666503429412842"
"964","404","404","404","2.8260958194732666","2.8260958194732666","2.8260958194732666"
"969","406","406","406","2.7814204692840576","2.7814204692840576","2.7814204692840576"
"974","408","408","408","2.767937183380127","2.767937183380127","2.767937183380127"
"979","410","410","410","2.913616180419922","2.913616180419922","2.913616180419922"
"984","412","412","412","2.7482495307922363","2.7482495307922363","2.7482495307922363"
"989","414","414","414","3.017604351043701","3.017604351043701","3.017604351043701"
"994","416","416","416","2.650052547454834","2.650052547454834","2.650052547454834"
"999","419","419","419","2.695112943649292","2.695112943649292","2.695112943649292"
"1004","421","421","421","2.6354148387908936","2.6354148387908936","2.6354148387908936"
"1009","423","423","423","2.737879514694214","2.737879514694214","2.737879514694214"
"1014","425","425","425","2.709228038787842","2.709228038787842","2.709228038787842"
"1019","427","427","427","3.009101152420044","3.009101152420044","3.009101152420044"
"1024","429","429","429","3.030144691467285","3.030144691467285","3.030144691467285"
"1029","431","431","431","2.817516326904297","2.817516326904297","2.817516326904297"
"1034","433","433","433","2.995223045349121","2.995223045349121","2.995223045349121"
"1039","435","435","435","2.9650766849517822","2.9650766849517822","2.9650766849517822"
"1044","437","437","437","2.82104754447937","2.82104754447937","2.82104754447937"
"1049","440","440","440","3.1353986263275146","3.1353986263275146","3.1353986263275146"
"1054","442","442","442","2.882275342941284","2.882275342941284","2.882275342941284"
"1059","444","444","444","2.481694221496582","2.481694221496582","2.481694221496582"
"1064","446","446","446","2.7849326133728027","2.7849326133728027","2.7849326133728027"
"1069","448","448","448","2.7951152324676514","2.7951152324676514","2.7951152324676514"
"1074","450","450","450","2.6176533699035645","2.6176533699035645","2.6176533699035645"
"1079","452","452","452","2.6093664169311523","2.6093664169311523","2.6093664169311523"
"1084","454","454","454","2.9032719135284424","2.9032719135284424","2.9032719135284424"
"1089","456","456","456","2.8023667335510254","2.8023667335510254","2.8023667335510254"
"1094","458","458","458","2.712456226348877","2.712456226348877","2.712456226348877"
"1099","461","461","461","2.8310718536376953","2.8310718536376953","2.8310718536376953"
"1104","463","463","463","2.560546398162842","2.560546398162842","2.560546398162842"
"1109","465","465","465","2.601074695587158","2.601074695587158","2.601074695587158"
"1114","467","467","467","2.583707809448242","2.583707809448242","2.583707809448242"
"1119","469","469","469","2.767383098602295","2.767383098602295","2.767383098602295"
"1124","471","471","471","2.622447967529297","2.622447967529297","2.622447967529297"
"1129","473","473","473","2.6579132080078125","2.6579132080078125","2.6579132080078125"
"1134","475","475","475","2.5081043243408203","2.5081043243408203","2.5081043243408203"
"1139","477","477","477","2.539414644241333","2.539414644241333","2.539414644241333"
"1144","479","479","479","2.358548641204834","2.358548641204834","2.358548641204834"
"1149","482","482","482","2.2495028972625732","2.2495028972625732","2.2495028972625732"
"1154","484","484","484","2.6057727336883545","2.6057727336883545","2.6057727336883545"
"1159","486","486","486","2.7311999797821045","2.7311999797821045","2.7311999797821045"
"1164","488","488","488","3.0075111389160156","3.0075111389160156","3.0075111389160156"
"1169","490","490","490","2.680100440979004","2.680100440979004","2.680100440979004"
"1174","492","492","492","2.399392604827881","2.399392604827881","2.399392604827881"
"1179","494","494","494","2.6158037185668945","2.6158037185668945","2.6158037185668945"
"1184","496","496","496","2.493335723876953","2.493335723876953","2.493335723876953"
"1189","498","498","498","2.953467845916748","2.953467845916748","2.953467845916748"
"1194","500","500","500","2.489332675933838","2.489332675933838","2.489332675933838"
"1199","503","503","503","2.749904155731201","2.749904155731201","2.749904155731201"
"1204","505","505","505","2.6366872787475586","2.6366872787475586","2.6366872787475586"
"1209","507","507","507","2.5784153938293457","2.5784153938293457","2.5784153938293457"
"1214","509","509","509","2.6829490661621094","2.6829490661621094","2.6829490661621094"
"1219","511","511","511","2.654245138168335","2.654245138168335","2.654245138168335"
"1224","513","513","513","2.657797336578369","2.657797336578369","2.657797336578369"
"1229","515","515","515","2.5484113693237305","2.5484113693237305","2.5484113693237305"
"1234","517","517","517","2.5735342502593994","2.5735342502593994","2.5735342502593994"
"1239","519","519","519","2.425712823867798","2.425712823867798","2.425712823867798"
"1244","521","521","521","2.5971481800079346","2.5971481800079346","2.5971481800079346"
"1249","524","524","524","2.6184756755828857","2.6184756755828857","2.6184756755828857"
"1254","526","526","526","2.3892555236816406","2.3892555236816406","2.3892555236816406"
"1259","528","528","528","2.5095040798187256","2.5095040798187256","2.5095040798187256"
"1264","530","530","530","2.9574384689331055","2.9574384689331055","2.9574384689331055"
"1269","532","532","532","2.678427219390869","2.678427219390869","2.678427219390869"
"1274","534","534","534","2.548574924468994","2.548574924468994","2.548574924468994"
"1279","536","536","536","2.5385875701904297","2.5385875701904297","2.5385875701904297"
"1284","538","538","538","2.4935872554779053","2.4935872554779053","2.4935872554779053"
"1289","540","540","540","2.6561875343322754","2.6561875343322754","2.6561875343322754"
"1294","542","542","542","2.585191249847412","2.585191249847412","2.585191249847412"
"1299","545","545","545","2.6902401447296143","2.6902401447296143","2.6902401447296143"
"1304","547","547","547","2.684394359588623","2.684394359588623","2.684394359588623"
"1309","549","549","549","2.5168216228485107","2.5168216228485107","2.5168216228485107"
