"Iter","s3dis/semseg-octformer-v1m1-0-lit - _step","s3dis/semseg-octformer-v1m1-0-lit - _step__MIN","s3dis/semseg-octformer-v1m1-0-lit - _step__MAX","s3dis/semseg-octformer-v1m1-0-lit - train_batch/loss","s3dis/semseg-octformer-v1m1-0-lit - train_batch/loss__MIN","s3dis/semseg-octformer-v1m1-0-lit - train_batch/loss__MAX"
"209","209","209","209","0.9933621883392334","0.9933621883392334","0.9933621883392334"
"210","210","210","210","1.1799070835113525","1.1799070835113525","1.1799070835113525"
"211","211","211","211","1.146911382675171","1.146911382675171","1.146911382675171"
"212","212","212","212","1.086082935333252","1.086082935333252","1.086082935333252"
"213","213","213","213","0.9258925914764404","0.9258925914764404","0.9258925914764404"
"214","214","214","214","1.2714370489120483","1.2714370489120483","1.2714370489120483"
"215","215","215","215","1.2237344980239868","1.2237344980239868","1.2237344980239868"
"216","216","216","216","1.1606662273406982","1.1606662273406982","1.1606662273406982"
"217","217","217","217","1.1150742769241333","1.1150742769241333","1.1150742769241333"
"218","218","218","218","1.1780604124069214","1.1780604124069214","1.1780604124069214"
"219","219","219","219","0.9945231080055237","0.9945231080055237","0.9945231080055237"
"220","220","220","220","1.2002060413360596","1.2002060413360596","1.2002060413360596"
"221","221","221","221","1.1728451251983643","1.1728451251983643","1.1728451251983643"
"222","222","222","222","1.0141671895980835","1.0141671895980835","1.0141671895980835"
"223","223","223","223","1.0788253545761108","1.0788253545761108","1.0788253545761108"
"224","224","224","224","0.9201889038085938","0.9201889038085938","0.9201889038085938"
"225","225","225","225","1.039031982421875","1.039031982421875","1.039031982421875"
"226","226","226","226","1.2502293586730957","1.2502293586730957","1.2502293586730957"
"227","227","227","227","1.2806321382522583","1.2806321382522583","1.2806321382522583"
"228","228","228","228","1.0814274549484253","1.0814274549484253","1.0814274549484253"
"229","229","229","229","1.0324686765670776","1.0324686765670776","1.0324686765670776"
"230","230","230","230","0.9690781235694885","0.9690781235694885","0.9690781235694885"
"231","231","231","231","1.2675780057907104","1.2675780057907104","1.2675780057907104"
"232","232","232","232","1.1646499633789062","1.1646499633789062","1.1646499633789062"
"233","233","233","233","1.0487200021743774","1.0487200021743774","1.0487200021743774"
"234","234","234","234","0.9482631683349609","0.9482631683349609","0.9482631683349609"
"235","235","235","235","0.9564682841300964","0.9564682841300964","0.9564682841300964"
"236","236","236","236","1.1606333255767822","1.1606333255767822","1.1606333255767822"
"237","237","237","237","1.063396692276001","1.063396692276001","1.063396692276001"
"238","238","238","238","1.0179072618484497","1.0179072618484497","1.0179072618484497"
"239","239","239","239","1.0207067728042603","1.0207067728042603","1.0207067728042603"
"240","240","240","240","0.9880021214485168","0.9880021214485168","0.9880021214485168"
"241","241","241","241","0.9908681511878967","0.9908681511878967","0.9908681511878967"
"242","242","242","242","1.2122523784637451","1.2122523784637451","1.2122523784637451"
"243","243","243","243","1.2189480066299438","1.2189480066299438","1.2189480066299438"
"244","244","244","244","1.0672856569290161","1.0672856569290161","1.0672856569290161"
"245","245","245","245","1.2325645685195923","1.2325645685195923","1.2325645685195923"
"246","246","246","246","1.1028858423233032","1.1028858423233032","1.1028858423233032"
"247","247","247","247","1.3380666971206665","1.3380666971206665","1.3380666971206665"
"248","248","248","248","1.0365692377090454","1.0365692377090454","1.0365692377090454"
"249","249","249","249","1.0180137157440186","1.0180137157440186","1.0180137157440186"
"250","250","250","250","1.2416716814041138","1.2416716814041138","1.2416716814041138"
"251","251","251","251","1.0791256427764893","1.0791256427764893","1.0791256427764893"
"252","252","252","252","1.040576457977295","1.040576457977295","1.040576457977295"
"253","253","253","253","1.1076686382293701","1.1076686382293701","1.1076686382293701"
"254","254","254","254","1.0747227668762207","1.0747227668762207","1.0747227668762207"
"255","255","255","255","1.2013819217681885","1.2013819217681885","1.2013819217681885"
"256","256","256","256","1.08065664768219","1.08065664768219","1.08065664768219"
"257","257","257","257","0.9471238255500793","0.9471238255500793","0.9471238255500793"
"258","258","258","258","1.3688467741012573","1.3688467741012573","1.3688467741012573"
"259","259","259","259","1.0940425395965576","1.0940425395965576","1.0940425395965576"
"260","260","260","260","0.9842355847358704","0.9842355847358704","0.9842355847358704"
"261","261","261","261","1.0898181200027466","1.0898181200027466","1.0898181200027466"
"262","262","262","262","1.2136825323104858","1.2136825323104858","1.2136825323104858"
"263","263","263","263","1.035292387008667","1.035292387008667","1.035292387008667"
"264","264","264","264","1.127701997756958","1.127701997756958","1.127701997756958"
"265","265","265","265","0.8787925839424133","0.8787925839424133","0.8787925839424133"
"266","266","266","266","1.1384490728378296","1.1384490728378296","1.1384490728378296"
"267","267","267","267","1.1888885498046875","1.1888885498046875","1.1888885498046875"
"268","268","268","268","1.1795135736465454","1.1795135736465454","1.1795135736465454"
"269","269","269","269","1.0865637063980103","1.0865637063980103","1.0865637063980103"
"270","270","270","270","1.065222978591919","1.065222978591919","1.065222978591919"
"271","271","271","271","1.0493497848510742","1.0493497848510742","1.0493497848510742"
"272","272","272","272","1.0568387508392334","1.0568387508392334","1.0568387508392334"
"273","273","273","273","1.0641486644744873","1.0641486644744873","1.0641486644744873"
"274","274","274","274","1.0127580165863037","1.0127580165863037","1.0127580165863037"
"275","275","275","275","1.2621431350708008","1.2621431350708008","1.2621431350708008"
"276","276","276","276","1.1639127731323242","1.1639127731323242","1.1639127731323242"
"277","277","277","277","0.8961872458457947","0.8961872458457947","0.8961872458457947"
"278","278","278","278","1.2414015531539917","1.2414015531539917","1.2414015531539917"
"279","279","279","279","0.9468371868133545","0.9468371868133545","0.9468371868133545"
