"Iter","s3dis/semseg-pt-v1-0-base - _step","s3dis/semseg-pt-v1-0-base - _step__MIN","s3dis/semseg-pt-v1-0-base - _step__MAX","s3dis/semseg-pt-v1-0-base - train_batch/loss","s3dis/semseg-pt-v1-0-base - train_batch/loss__MIN","s3dis/semseg-pt-v1-0-base - train_batch/loss__MAX"
"126","126","126","126","0.9359257817268372","0.9359257817268372","0.9359257817268372"
"127","127","127","127","1.0447325706481934","1.0447325706481934","1.0447325706481934"
"128","128","128","128","0.9279503226280212","0.9279503226280212","0.9279503226280212"
"129","129","129","129","0.8550636768341064","0.8550636768341064","0.8550636768341064"
"130","130","130","130","0.7651370763778687","0.7651370763778687","0.7651370763778687"
"131","131","131","131","0.9563671946525574","0.9563671946525574","0.9563671946525574"
"132","132","132","132","0.9583832621574402","0.9583832621574402","0.9583832621574402"
"133","133","133","133","0.7109673023223877","0.7109673023223877","0.7109673023223877"
"134","134","134","134","0.9129257202148438","0.9129257202148438","0.9129257202148438"
"135","135","135","135","1.0431663990020752","1.0431663990020752","1.0431663990020752"
"136","136","136","136","0.7182742953300476","0.7182742953300476","0.7182742953300476"
"137","137","137","137","0.9774444103240967","0.9774444103240967","0.9774444103240967"
"138","138","138","138","0.904079020023346","0.904079020023346","0.904079020023346"
"139","139","139","139","0.8265852332115173","0.8265852332115173","0.8265852332115173"
"140","140","140","140","0.7368443012237549","0.7368443012237549","0.7368443012237549"
"141","141","141","141","0.9977930784225464","0.9977930784225464","0.9977930784225464"
"142","142","142","142","0.6888642907142639","0.6888642907142639","0.6888642907142639"
"143","143","143","143","0.7488999962806702","0.7488999962806702","0.7488999962806702"
"144","144","144","144","0.678948700428009","0.678948700428009","0.678948700428009"
"145","145","145","145","0.8151737451553345","0.8151737451553345","0.8151737451553345"
"146","146","146","146","0.7012072205543518","0.7012072205543518","0.7012072205543518"
"147","147","147","147","0.7550168037414551","0.7550168037414551","0.7550168037414551"
"148","148","148","148","0.7222200036048889","0.7222200036048889","0.7222200036048889"
"149","149","149","149","0.9057000279426575","0.9057000279426575","0.9057000279426575"
"150","150","150","150","0.6763186454772949","0.6763186454772949","0.6763186454772949"
"151","151","151","151","0.8525808453559875","0.8525808453559875","0.8525808453559875"
"152","152","152","152","0.9407190680503845","0.9407190680503845","0.9407190680503845"
"153","153","153","153","0.7876154184341431","0.7876154184341431","0.7876154184341431"
"154","154","154","154","0.9487506747245789","0.9487506747245789","0.9487506747245789"
"155","155","155","155","0.8084431886672974","0.8084431886672974","0.8084431886672974"
"156","156","156","156","0.9726448655128479","0.9726448655128479","0.9726448655128479"
"157","157","157","157","0.8040395379066467","0.8040395379066467","0.8040395379066467"
"158","158","158","158","0.7067051529884338","0.7067051529884338","0.7067051529884338"
"159","159","159","159","0.9796406626701355","0.9796406626701355","0.9796406626701355"
"160","160","160","160","0.7018923759460449","0.7018923759460449","0.7018923759460449"
"161","161","161","161","0.8555838465690613","0.8555838465690613","0.8555838465690613"
"162","162","162","162","0.7789110541343689","0.7789110541343689","0.7789110541343689"
"163","163","163","163","0.820056676864624","0.820056676864624","0.820056676864624"
"164","164","164","164","0.8756378293037415","0.8756378293037415","0.8756378293037415"
"165","165","165","165","0.924717903137207","0.924717903137207","0.924717903137207"
"166","166","166","166","0.8497014045715332","0.8497014045715332","0.8497014045715332"
"167","167","167","167","0.791459321975708","0.791459321975708","0.791459321975708"
"168","168","168","168","0.8678328394889832","0.8678328394889832","0.8678328394889832"
"169","169","169","169","0.7035045027732849","0.7035045027732849","0.7035045027732849"
"170","170","170","170","0.8756659626960754","0.8756659626960754","0.8756659626960754"
"171","171","171","171","0.8166338801383972","0.8166338801383972","0.8166338801383972"
"172","172","172","172","0.8319017887115479","0.8319017887115479","0.8319017887115479"
"173","173","173","173","0.8662729859352112","0.8662729859352112","0.8662729859352112"
"174","174","174","174","0.8532842993736267","0.8532842993736267","0.8532842993736267"
"175","175","175","175","0.899499237537384","0.899499237537384","0.899499237537384"
"176","176","176","176","0.8121559023857117","0.8121559023857117","0.8121559023857117"
"177","177","177","177","0.6730127334594727","0.6730127334594727","0.6730127334594727"
"178","178","178","178","0.7126081585884094","0.7126081585884094","0.7126081585884094"
"179","179","179","179","0.6488640308380127","0.6488640308380127","0.6488640308380127"
"180","180","180","180","0.6636999845504761","0.6636999845504761","0.6636999845504761"
"181","181","181","181","0.7358190417289734","0.7358190417289734","0.7358190417289734"
"182","182","182","182","0.7815781235694885","0.7815781235694885","0.7815781235694885"
"183","183","183","183","0.6559203863143921","0.6559203863143921","0.6559203863143921"
"184","184","184","184","0.873121976852417","0.873121976852417","0.873121976852417"
"185","185","185","185","0.7382690906524658","0.7382690906524658","0.7382690906524658"
"186","186","186","186","0.7344022393226624","0.7344022393226624","0.7344022393226624"
"187","187","187","187","0.7697352170944214","0.7697352170944214","0.7697352170944214"
"188","188","188","188","0.7412514686584473","0.7412514686584473","0.7412514686584473"
"189","189","189","189","0.7485648393630981","0.7485648393630981","0.7485648393630981"
"190","190","190","190","0.7836436033248901","0.7836436033248901","0.7836436033248901"
"191","191","191","191","0.8172950744628906","0.8172950744628906","0.8172950744628906"
"192","192","192","192","0.7723582983016968","0.7723582983016968","0.7723582983016968"
"193","193","193","193","0.6219842433929443","0.6219842433929443","0.6219842433929443"
"194","194","194","194","0.9584258198738098","0.9584258198738098","0.9584258198738098"
"195","195","195","195","0.7415685057640076","0.7415685057640076","0.7415685057640076"
"196","196","196","196","0.6172731518745422","0.6172731518745422","0.6172731518745422"
"197","197","197","197","0.7724913358688354","0.7724913358688354","0.7724913358688354"
"198","198","198","198","0.7798904180526733","0.7798904180526733","0.7798904180526733"
